FYERS_Symbol,NSE_Symbol,Company_Name,Industry,Last_Price,Volume,Change_Percent,fyToken
NSE:INDUSINDBK-EQ,INDUSINDBK,INDUSINDBK,N/A,903.6,2711855,-1.18,10100000005258
NSE:JSWSTEEL-EQ,JSWSTEEL,JSWSTEEL,N/A,1236.2,918161,-0.29,101000000011723
NSE:LTIM-EQ,LTIM,LTIM,N/A,5561.5,390513,-2.15,101000000017818
NSE:TATACONSUM-EQ,TATACONSUM,TATACONSUM,N/A,1159.3,830634,0.29,10100000003432
NSE:TATAMOTORS-EQ,TATAMOTORS,TATAMOTORS,N/A,0.0,0,0.0,
NSE:UPL-EQ,UPL,UPL,N/A,741.3,2249941,-0.85,101000000011287
NSE:APOLLOHOSP-EQ,APOLLOHOSP,APOLLOHOSP,N/A,7152.5,668962,0.43,1010000000157
NSE:DRREDDY-EQ,DRREDDY,DRREDDY,N/A,1241.2,1324651,-0.3,1010000000881
NSE:HDFCLIFE-EQ,HDFCLIFE,HDFCLIFE,N/A,703.5,4114496,-2.39,1010000000467
NSE:HEROMOTOCO-EQ,HEROMOTOCO,HEROMOTOCO,N/A,5753.5,770475,-0.22,10100000001348
NSE:PIDILITIND-EQ,PIDILITIND,PIDILITIND,N/A,1489.1,571034,1.33,10100000002664
NSE:SBILIFE-EQ,SBILIFE,SBILIFE,N/A,1996.7,884292,-1.05,101000000021808
NSE:SHREECEM-EQ,SHREECEM,SHREECEM,N/A,27330.0,14772,0.39,10100000003103
NSE:BAJAJ-AUTO-EQ,BAJAJ-AUTO,BAJAJ-AUTO,N/A,9518.5,198790,-1.33,101000000016669
NSE:BPCL-EQ,BPCL,BPCL,N/A,386.35,7988984,1.13,1010000000526
NSE:GODREJCP-EQ,GODREJCP,GODREJCP,N/A,1181.8,808406,0.99,101000000010099
NSE:ICICIPRULI-EQ,ICICIPRULI,ICICIPRULI,N/A,651.35,499107,-0.59,101000000018652
NSE:ADANIPORTS-EQ,ADANIPORTS,ADANIPORTS,N/A,1550.7,4429173,-1.24,101000000015083
NSE:IOC-EQ,IOC,IOC,N/A,175.2,34240417,-0.32,10100000001624
NSE:VEDL-EQ,VEDL,VEDL,N/A,671.05,16866400,2.42,10100000003063
NSE:BANDHANBNK-EQ,BANDHANBNK,BANDHANBNK,N/A,159.04,5269308,0.79,10100000002263
NSE:DABUR-EQ,DABUR,DABUR,N/A,508.3,950728,0.79,1010000000772
NSE:MARICO-EQ,MARICO,MARICO,N/A,752.75,1737323,0.59,10100000004067
NSE:BERGEPAINT-EQ,BERGEPAINT,BERGEPAINT,N/A,472.4,341137,0.02,1010000000404
NSE:HAVELLS-EQ,HAVELLS,HAVELLS,N/A,1355.0,417229,0.36,10100000009819
NSE:COLPAL-EQ,COLPAL,COLPAL,N/A,2133.2,233294,0.89,101000000015141
NSE:MCDOWELL-N-EQ,MCDOWELL-N,MCDOWELL-N,N/A,0.0,0,0.0,
NSE:ACC-EQ,ACC,ACC,N/A,1667.4,124609,-0.52,101000000022
NSE:AMBUJACEM-EQ,AMBUJACEM,AMBUJACEM,N/A,529.45,554714,-0.67,10100000001270
NSE:INDIGO-EQ,INDIGO,INDIGO,N/A,4909.4,463970,-0.46,101000000011195
NSE:SIEMENS-EQ,SIEMENS,SIEMENS,N/A,3176.2,851068,-3.75,10100000003150
NSE:DLF-EQ,DLF,DLF,N/A,663.75,2687146,0.37,101000000014732
NSE:GAIL-EQ,GAIL,GAIL,N/A,162.99,15057595,1.75,10100000004717
NSE:BOSCHLTD-EQ,BOSCHLTD,BOSCHLTD,N/A,36340.0,18833,0.18,10100000002181
NSE:SRF-EQ,SRF,SRF,N/A,2901.6,137382,-0.16,10100000003273
NSE:PAGEIND-EQ,PAGEIND,PAGEIND,N/A,35560.0,34565,-0.22,101000000014413
NSE:ABB-EQ,ABB,ABB,N/A,5816.0,304093,0.8,101000000013
NSE:BEL-EQ,BEL,BEL,N/A,429.65,11078888,-0.75,1010000000383
NSE:CANBK-EQ,CANBK,CANBK,N/A,147.31,21884724,-0.66,101000000010794
NSE:PNB-EQ,PNB,PNB,N/A,122.85,14524956,-1.01,101000000010666
NSE:BANKBARODA-EQ,BANKBARODA,BANKBARODA,N/A,289.2,4988298,-0.43,10100000004668
NSE:MOTHERSON-EQ,MOTHERSON,MOTHERSON,N/A,118.1,18822881,-2.39,10100000004204
NSE:BAJAJHLDNG-EQ,BAJAJHLDNG,BAJAJHLDNG,N/A,10999.0,53765,0.99,1010000000305
NSE:MUTHOOTFIN-EQ,MUTHOOTFIN,MUTHOOTFIN,N/A,3704.2,827152,3.5,101000000023650
NSE:PEL-EQ,PEL,PEL,N/A,0.0,0,0.0,
NSE:TORNTPHARM-EQ,TORNTPHARM,TORNTPHARM,N/A,3939.0,231319,-0.94,10100000003518
NSE:CHOLAFIN-EQ,CHOLAFIN,CHOLAFIN,N/A,1742.2,1197294,1.16,1010000000685
NSE:LICI-EQ,LICI,LICI,N/A,901.85,15819930,7.4,10100000009480
NSE:TRENT-EQ,TRENT,TRENT,N/A,4113.8,1115797,-0.42,10100000001964
NSE:JINDALSTEL-EQ,JINDALSTEL,JINDALSTEL,N/A,1189.9,988037,1.01,10100000006733
NSE:SAIL-EQ,SAIL,SAIL,N/A,160.52,29587522,1.27,10100000002963
NSE:RECLTD-EQ,RECLTD,RECLTD,N/A,372.5,12996880,-2.51,101000000015355
NSE:CONCOR-EQ,CONCOR,CONCOR,N/A,509.5,2087933,-2.4,10100000004749
NSE:OFSS-EQ,OFSS,OFSS,N/A,7264.0,266523,-2.5,101000000010738
NSE:MPHASIS-EQ,MPHASIS,MPHASIS,N/A,2610.5,857784,-1.44,10100000004503
NSE:PERSISTENT-EQ,PERSISTENT,PERSISTENT,N/A,5852.0,601645,-2.15,101000000018365
NSE:MINDTREE-EQ,MINDTREE,MINDTREE,N/A,0.0,0,0.0,
NSE:COFORGE-EQ,COFORGE,COFORGE,N/A,1546.0,2751610,-3.36,101000000011543
NSE:LTTS-EQ,LTTS,LTTS,N/A,3855.8,88010,1.23,101000000018564
NSE:BIOCON-EQ,BIOCON,BIOCON,N/A,365.4,1797290,-0.65,101000000011373
NSE:ALKEM-EQ,ALKEM,ALKEM,N/A,5684.0,52719,0.38,101000000011703
NSE:LUPIN-EQ,LUPIN,LUPIN,N/A,2173.7,600785,-2.02,101000000010440
NSE:CADILAHC-EQ,CADILAHC,CADILAHC,N/A,0.0,0,0.0,
NSE:GRANULES-EQ,GRANULES,GRANULES,N/A,563.7,794902,-2.76,101000000011872
NSE:ABBOTINDIA-EQ,ABBOTINDIA,ABBOTINDIA,N/A,27365.0,4095,0.55,101000000017903
NSE:PFIZER-EQ,PFIZER,PFIZER,N/A,4590.3,9723,-2.28,10100000002643
NSE:GLAXO-EQ,GLAXO,GLAXO,N/A,2484.0,75210,1.61,10100000001153
NSE:AUROPHARMA-EQ,AUROPHARMA,AUROPHARMA,N/A,1191.0,805359,0.8,1010000000275
NSE:REDDY-EQ,REDDY,REDDY,N/A,0.0,0,0.0,
NSE:JUBLFOOD-EQ,JUBLFOOD,JUBLFOOD,N/A,544.25,1345771,-0.16,101000000018096
NSE:BRITANNIA-EQ,BRITANNIA,BRITANNIA,N/A,5911.0,186858,0.69,1010000000547
NSE:GODREJIND-EQ,GODREJIND,GODREJIND,N/A,994.35,21306,-0.38,101000000010925
NSE:VOLTAS-EQ,VOLTAS,VOLTAS,N/A,1435.0,458866,0.57,10100000003718
NSE:WHIRLPOOL-EQ,WHIRLPOOL,WHIRLPOOL,N/A,854.65,591847,2.68,101000000018011
NSE:CROMPTON-EQ,CROMPTON,CROMPTON,N/A,245.03,2074085,-0.65,101000000017094
NSE:BAJAJCON-EQ,BAJAJCON,BAJAJCON,N/A,359.7,705337,-1.1,101000000019531
NSE:BATAINDIA-EQ,BATAINDIA,BATAINDIA,N/A,849.1,69943,-0.29,1010000000371
NSE:RELAXO-EQ,RELAXO,RELAXO,N/A,369.25,43935,-0.91,101000000024225
NSE:VMART-EQ,VMART,VMART,N/A,589.55,141664,-1.38,101000000029284
NSE:TATAELXSI-EQ,TATAELXSI,TATAELXSI,N/A,5198.5,426399,-3.84,10100000003411
NSE:POLYCAB-EQ,POLYCAB,POLYCAB,N/A,7623.5,142827,1.15,10100000009590
NSE:KEI-EQ,KEI,KEI,N/A,4462.6,204878,0.44,101000000013310
NSE:FINOLEX-EQ,FINOLEX,FINOLEX,N/A,0.0,0,0.0,
